terms/0,terms/1,termNames/0,termNames/1,periods/0/name,periods/0/date,periods/0/value,periods/1/name,periods/1/date,periods/1/value,periods/2/name,periods/2/date,periods/2/value,periods/3/name,periods/3/date,periods/3/value,periods/4/name,periods/4/date,periods/4/value,periods/5/name,periods/5/date,periods/5/value,periods/6/name,periods/6/date,periods/6/value,periods/7/name,periods/7/date,periods/7/value,periods/8/name,periods/8/date,periods/8/value,periods/9/name,periods/9/date,periods/9/value,periods/10/name,periods/10/date,periods/10/value,periods/11/name,periods/11/date,periods/11/value,periods/12/name,periods/12/date,periods/12/value,periods/13/name,periods/13/date,periods/13/value,periods/14/name,periods/14/date,periods/14/value,periods/15/name,periods/15/date,periods/15/value,periods/16/name,periods/16/date,periods/16/value,periods/17/name,periods/17/date,periods/17/value,periods/18/name,periods/18/date,periods/18/value,periods/19/name,periods/19/date,periods/19/value,periods/20/name,periods/20/date,periods/20/value,periods/21/name,periods/21/date,periods/21/value,periods/22/name,periods/22/date,periods/22/value,periods/23/name,periods/23/date,periods/23/value
264023,741917,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,3446,2018 год,31.12.2018,3605,2009 год,31.12.2009,4411,2011 год,31.12.2011,4976,2000 год,31.12.2000,3930,2005 год,31.12.2005,5030,2002 год,31.12.2002,3813,2001 год,31.12.2001,3647,2007 год,31.12.2007,5043,2003 год,31.12.2003,4255,2008 год,31.12.2008,4265,2006 год,31.12.2006,4961,2004 год,31.12.2004,4357,2016 год,31.12.2016,3566,2010 год,31.12.2010,4466,2015 год,31.12.2015,4144,2013 год,31.12.2013,4731,2014 год,31.12.2014,4480,2012 год,31.12.2012,4813,2017 год,31.12.2017,3830,2022 год,31.12.2022,3514,2021 год,31.12.2021,3515,2020 год,31.12.2020,2932,2023 год,31.12.2023,3121
258742,533590,КОСТАНАЙСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1724,2018 год,31.12.2018,1951,2009 год,31.12.2009,2607,2011 год,31.12.2011,2885,2000 год,31.12.2000,2526,2005 год,31.12.2005,2414,2002 год,31.12.2002,2361,2001 год,31.12.2001,2244,2007 год,31.12.2007,3114,2003 год,31.12.2003,2468,2008 год,31.12.2008,2367,2006 год,31.12.2006,2460,2004 год,31.12.2004,2522,2016 год,31.12.2016,2023,2010 год,31.12.2010,2673,2015 год,31.12.2015,2371,2013 год,31.12.2013,2571,2014 год,31.12.2014,2516,2012 год,31.12.2012,2612,2017 год,31.12.2017,2132,2022 год,31.12.2022,1598,2021 год,31.12.2021,1606,2020 год,31.12.2020,1536,2023 год,31.12.2023,1543
264990,533589,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,6955,2018 год,31.12.2018,7106,2009 год,31.12.2009,7744,2011 год,31.12.2011,8176,2000 год,31.12.2000,5215,2005 год,31.12.2005,7354,2002 год,31.12.2002,6023,2001 год,31.12.2001,5498,2007 год,31.12.2007,8168,2003 год,31.12.2003,6411,2008 год,31.12.2008,7435,2006 год,31.12.2006,8165,2004 год,31.12.2004,6798,2016 год,31.12.2016,7418,2010 год,31.12.2010,7739,2015 год,31.12.2015,8252,2013 год,31.12.2013,8818,2014 год,31.12.2014,8568,2012 год,31.12.2012,8608,2017 год,31.12.2017,7445,2022 год,31.12.2022,3438,2021 год,31.12.2021,7139,2020 год,31.12.2020,6357,2023 год,31.12.2023,3399
263009,533589,ПАВЛОДАРСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,4262,2018 год,31.12.2018,4351,2009 год,31.12.2009,4728,2011 год,31.12.2011,5472,2000 год,31.12.2000,3069,2005 год,31.12.2005,4127,2002 год,31.12.2002,3219,2001 год,31.12.2001,3203,2007 год,31.12.2007,5166,2003 год,31.12.2003,3590,2008 год,31.12.2008,4552,2006 год,31.12.2006,4709,2004 год,31.12.2004,3654,2016 год,31.12.2016,4155,2010 год,31.12.2010,4982,2015 год,31.12.2015,4977,2013 год,31.12.2013,5786,2014 год,31.12.2014,5279,2012 год,31.12.2012,5721,2017 год,31.12.2017,4563,2022 год,31.12.2022,3546,2021 год,31.12.2021,4228,2020 год,31.12.2020,3940,2023 год,31.12.2023,3393
247783,533589,АКМОЛИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,3099,2018 год,31.12.2018,3182,2009 год,31.12.2009,3476,2011 год,31.12.2011,3612,2000 год,31.12.2000,2395,2005 год,31.12.2005,3060,2002 год,31.12.2002,2275,2001 год,31.12.2001,2185,2007 год,31.12.2007,3393,2003 год,31.12.2003,2855,2008 год,31.12.2008,3615,2006 год,31.12.2006,3396,2004 год,31.12.2004,2783,2016 год,31.12.2016,3117,2010 год,31.12.2010,3250,2015 год,31.12.2015,3406,2013 год,31.12.2013,4048,2014 год,31.12.2014,3853,2012 год,31.12.2012,3814,2017 год,31.12.2017,3370,2022 год,31.12.2022,2952,2021 год,31.12.2021,3183,2020 год,31.12.2020,2872,2023 год,31.12.2023,2728
263009,533590,ПАВЛОДАРСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,973,2018 год,31.12.2018,1018,2009 год,31.12.2009,1507,2011 год,31.12.2011,1515,2000 год,31.12.2000,1752,2005 год,31.12.2005,1727,2002 год,31.12.2002,1729,2001 год,31.12.2001,1546,2007 год,31.12.2007,1946,2003 год,31.12.2003,1723,2008 год,31.12.2008,1440,2006 год,31.12.2006,1774,2004 год,31.12.2004,1656,2016 год,31.12.2016,1018,2010 год,31.12.2010,1502,2015 год,31.12.2015,1148,2013 год,31.12.2013,1110,2014 год,31.12.2014,1229,2012 год,31.12.2012,1297,2017 год,31.12.2017,1083,2022 год,31.12.2022,1157,2021 год,31.12.2021,969,2020 год,31.12.2020,930,2023 год,31.12.2023,1042
253160,741917,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,4703,2018 год,31.12.2018,4880,2009 год,31.12.2009,5261,2011 год,31.12.2011,6111,2000 год,31.12.2000,3454,2005 год,31.12.2005,4698,2002 год,31.12.2002,3935,2001 год,31.12.2001,3693,2007 год,31.12.2007,5675,2003 год,31.12.2003,4322,2008 год,31.12.2008,4972,2006 год,31.12.2006,5278,2004 год,31.12.2004,4368,2016 год,31.12.2016,5028,2010 год,31.12.2010,5542,2015 год,31.12.2015,5279,2013 год,31.12.2013,6170,2014 год,31.12.2014,5782,2012 год,31.12.2012,6184,2017 год,31.12.2017,4986,2022 год,31.12.2022,4269,2021 год,31.12.2021,4658,2020 год,31.12.2020,4467,2023 год,31.12.2023,3886
248875,741917,АКТЮБИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,6661,2018 год,31.12.2018,6538,2009 год,31.12.2009,6821,2011 год,31.12.2011,8384,2000 год,31.12.2000,4240,2005 год,31.12.2005,5889,2002 год,31.12.2002,4394,2001 год,31.12.2001,4115,2007 год,31.12.2007,6821,2003 год,31.12.2003,5144,2008 год,31.12.2008,6754,2006 год,31.12.2006,6680,2004 год,31.12.2004,5390,2016 год,31.12.2016,6761,2010 год,31.12.2010,7212,2015 год,31.12.2015,7149,2013 год,31.12.2013,8547,2014 год,31.12.2014,7999,2012 год,31.12.2012,8815,2017 год,31.12.2017,6693,2022 год,31.12.2022,5741,2021 год,31.12.2021,6632,2020 год,31.12.2020,6474,2023 год,31.12.2023,5489
264990,533590,ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,2335,2018 год,31.12.2018,2315,2009 год,31.12.2009,4032,2011 год,31.12.2011,4554,2000 год,31.12.2000,3549,2005 год,31.12.2005,3674,2002 год,31.12.2002,3548,2001 год,31.12.2001,3327,2007 год,31.12.2007,4646,2003 год,31.12.2003,3571,2008 год,31.12.2008,3799,2006 год,31.12.2006,3890,2004 год,31.12.2004,3525,2016 год,31.12.2016,2823,2010 год,31.12.2010,3730,2015 год,31.12.2015,2915,2013 год,31.12.2013,4289,2014 год,31.12.2014,3701,2012 год,31.12.2012,4380,2017 год,31.12.2017,2676,2022 год,31.12.2022,1194,2021 год,31.12.2021,2123,2020 год,31.12.2020,2213,2023 год,31.12.2023,1172
264023,533590,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1489,2018 год,31.12.2018,1570,2009 год,31.12.2009,2027,2011 год,31.12.2011,2455,2000 год,31.12.2000,2565,2005 год,31.12.2005,2937,2002 год,31.12.2002,2248,2001 год,31.12.2001,2200,2007 год,31.12.2007,2741,2003 год,31.12.2003,2477,2008 год,31.12.2008,2227,2006 год,31.12.2006,2875,2004 год,31.12.2004,2698,2016 год,31.12.2016,1547,2010 год,31.12.2010,2268,2015 год,31.12.2015,1865,2013 год,31.12.2013,2173,2014 год,31.12.2014,2031,2012 год,31.12.2012,2299,2017 год,31.12.2017,1625,2022 год,31.12.2022,1533,2021 год,31.12.2021,1464,2020 год,31.12.2020,1222,2023 год,31.12.2023,1317
256619,533590,КАРАГАНДИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,816,2018 год,31.12.2018,901,2009 год,31.12.2009,1699,2011 год,31.12.2011,1443,2000 год,31.12.2000,1411,2005 год,31.12.2005,1232,2002 год,31.12.2002,1245,2001 год,31.12.2001,1244,2007 год,31.12.2007,2181,2003 год,31.12.2003,1299,2008 год,31.12.2008,1725,2006 год,31.12.2006,1261,2004 год,31.12.2004,1225,2016 год,31.12.2016,990,2010 год,31.12.2010,1621,2015 год,31.12.2015,1083,2013 год,31.12.2013,1312,2014 год,31.12.2014,1155,2012 год,31.12.2012,1310,2017 год,31.12.2017,961,2022 год,31.12.2022,1144,2021 год,31.12.2021,760,2020 год,31.12.2020,770,2023 год,31.12.2023,1002
253160,533590,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1160,2018 год,31.12.2018,1220,2009 год,31.12.2009,2204,2011 год,31.12.2011,2336,2000 год,31.12.2000,2178,2005 год,31.12.2005,2314,2002 год,31.12.2002,2043,2001 год,31.12.2001,2047,2007 год,31.12.2007,2525,2003 год,31.12.2003,2085,2008 год,31.12.2008,1930,2006 год,31.12.2006,2555,2004 год,31.12.2004,2244,2016 год,31.12.2016,1492,2010 год,31.12.2010,2104,2015 год,31.12.2015,1564,2013 год,31.12.2013,2139,2014 год,31.12.2014,1765,2012 год,31.12.2012,2214,2017 год,31.12.2017,1313,2022 год,31.12.2022,1463,2021 год,31.12.2021,1081,2020 год,31.12.2020,1116,2023 год,31.12.2023,1251
255577,533589,ЖАМБЫЛСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,4073,2018 год,31.12.2018,4058,2009 год,31.12.2009,3729,2011 год,31.12.2011,4344,2000 год,31.12.2000,2202,2005 год,31.12.2005,3610,2002 год,31.12.2002,2560,2001 год,31.12.2001,2546,2007 год,31.12.2007,4116,2003 год,31.12.2003,3025,2008 год,31.12.2008,3744,2006 год,31.12.2006,3946,2004 год,31.12.2004,3198,2016 год,31.12.2016,3899,2010 год,31.12.2010,3682,2015 год,31.12.2015,3983,2013 год,31.12.2013,4648,2014 год,31.12.2014,4437,2012 год,31.12.2012,4477,2017 год,31.12.2017,3874,2022 год,31.12.2022,3487,2021 год,31.12.2021,3801,2020 год,31.12.2020,3678,2023 год,31.12.2023,3295
248875,533589,АКТЮБИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,5599,2018 год,31.12.2018,5364,2009 год,31.12.2009,4475,2011 год,31.12.2011,5651,2000 год,31.12.2000,2305,2005 год,31.12.2005,3845,2002 год,31.12.2002,2733,2001 год,31.12.2001,2390,2007 год,31.12.2007,4516,2003 год,31.12.2003,3277,2008 год,31.12.2008,4726,2006 год,31.12.2006,4550,2004 год,31.12.2004,3476,2016 год,31.12.2016,5102,2010 год,31.12.2010,4746,2015 год,31.12.2015,5325,2013 год,31.12.2013,6091,2014 год,31.12.2014,5998,2012 год,31.12.2012,6029,2017 год,31.12.2017,5524,2022 год,31.12.2022,4521,2021 год,31.12.2021,5584,2020 год,31.12.2020,5368,2023 год,31.12.2023,4446
250502,533589,АЛМАТИНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,4363,2018 год,31.12.2018,4363,2009 год,31.12.2009,4290,2011 год,31.12.2011,5015,2000 год,31.12.2000,2987,2005 год,31.12.2005,4398,2002 год,31.12.2002,3549,2001 год,31.12.2001,3263,2007 год,31.12.2007,4441,2003 год,31.12.2003,3948,2008 год,31.12.2008,4559,2006 год,31.12.2006,5193,2004 год,31.12.2004,4086,2016 год,31.12.2016,4529,2010 год,31.12.2010,4581,2015 год,31.12.2015,4694,2013 год,31.12.2013,5547,2014 год,31.12.2014,5152,2012 год,31.12.2012,5439,2017 год,31.12.2017,4409,2022 год,31.12.2022,2474,2021 год,31.12.2021,4150,2020 год,31.12.2020,3771,2023 год,31.12.2023,1790
255577,741917,ЖАМБЫЛСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,7806,2018 год,31.12.2018,7878,2009 год,31.12.2009,8826,2011 год,31.12.2011,9901,2000 год,31.12.2000,5545,2005 год,31.12.2005,7896,2002 год,31.12.2002,6055,2001 год,31.12.2001,5862,2007 год,31.12.2007,10043,2003 год,31.12.2003,6914,2008 год,31.12.2008,8852,2006 год,31.12.2006,9431,2004 год,31.12.2004,7526,2016 год,31.12.2016,8064,2010 год,31.12.2010,9005,2015 год,31.12.2015,8325,2013 год,31.12.2013,10368,2014 год,31.12.2014,9615,2012 год,31.12.2012,10303,2017 год,31.12.2017,7837,2022 год,31.12.2022,7461,2021 год,31.12.2021,7467,2020 год,31.12.2020,7590,2023 год,31.12.2023,6997
264023,533589,СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,1957,2018 год,31.12.2018,2035,2009 год,31.12.2009,2384,2011 год,31.12.2011,2521,2000 год,31.12.2000,1365,2005 год,31.12.2005,2093,2002 год,31.12.2002,1565,2001 год,31.12.2001,1447,2007 год,31.12.2007,2302,2003 год,31.12.2003,1778,2008 год,31.12.2008,2038,2006 год,31.12.2006,2086,2004 год,31.12.2004,1659,2016 год,31.12.2016,2019,2010 год,31.12.2010,2198,2015 год,31.12.2015,2279,2013 год,31.12.2013,2558,2014 год,31.12.2014,2449,2012 год,31.12.2012,2514,2017 год,31.12.2017,2205,2022 год,31.12.2022,1981,2021 год,31.12.2021,2051,2020 год,31.12.2020,1710,2023 год,31.12.2023,1804
250502,741917,АЛМАТИНСКАЯ ОБЛАСТЬ,Всего,2019 год,31.12.2019,14215,2018 год,31.12.2018,14068,2009 год,31.12.2009,15994,2011 год,31.12.2011,18033,2000 год,31.12.2000,9378,2005 год,31.12.2005,13017,2002 год,31.12.2002,11056,2001 год,31.12.2001,9965,2007 год,31.12.2007,16478,2003 год,31.12.2003,11614,2008 год,31.12.2008,15761,2006 год,31.12.2006,15065,2004 год,31.12.2004,12189,2016 год,31.12.2016,15522,2010 год,31.12.2010,16867,2015 год,31.12.2015,16149,2013 год,31.12.2013,19122,2014 год,31.12.2014,17256,2012 год,31.12.2012,18943,2017 год,31.12.2017,14969,2022 год,31.12.2022,10659,2021 год,31.12.2021,13979,2020 год,31.12.2020,12955,2023 год,31.12.2023,10087
248875,533590,АКТЮБИНСКАЯ ОБЛАСТЬ,сельская местность,2019 год,31.12.2019,1062,2018 год,31.12.2018,1174,2009 год,31.12.2009,2346,2011 год,31.12.2011,2733,2000 год,31.12.2000,1935,2005 год,31.12.2005,2044,2002 год,31.12.2002,1661,2001 год,31.12.2001,1725,2007 год,31.12.2007,2305,2003 год,31.12.2003,1867,2008 год,31.12.2008,2028,2006 год,31.12.2006,2130,2004 год,31.12.2004,1914,2016 год,31.12.2016,1659,2010 год,31.12.2010,2466,2015 год,31.12.2015,1824,2013 год,31.12.2013,2456,2014 год,31.12.2014,2001,2012 год,31.12.2012,2786,2017 год,31.12.2017,1169,2022 год,31.12.2022,1220,2021 год,31.12.2021,1048,2020 год,31.12.2020,1106,2023 год,31.12.2023,1043
253160,533589,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,городская местность,2019 год,31.12.2019,3543,2018 год,31.12.2018,3660,2009 год,31.12.2009,3057,2011 год,31.12.2011,3775,2000 год,31.12.2000,1276,2005 год,31.12.2005,2384,2002 год,31.12.2002,1892,2001 год,31.12.2001,1646,2007 год,31.12.2007,3150,2003 год,31.12.2003,2237,2008 год,31.12.2008,3042,2006 год,31.12.2006,2723,2004 год,31.12.2004,2124,2016 год,31.12.2016,3536,2010 год,31.12.2010,3438,2015 год,31.12.2015,3715,2013 год,31.12.2013,4031,2014 год,31.12.2014,4017,2012 год,31.12.2012,3970,2017 год,31.12.2017,3673,2022 год,31.12.2022,2806,2021 год,31.12.2021,3577,2020 год,31.12.2020,3351,2023 год,31.12.2023,2635
268020,533589,Г.АЛМАТЫ,городская местность,2019 год,31.12.2019,17832,2018 год,31.12.2018,16952,2009 год,31.12.2009,12891,2011 год,31.12.2011,14033,2000 год,31.12.2000,7918,2005 год,31.12.2005,11906,2002 год,31.12.2002,9406,2001 год,31.12.2001,8329,2007 год,31.12.2007,13896,2003 год,31.12.2003,10638,2008 год,31.12.2008,12655,2006 год,31.12.2006,12880,2004 год,31.12.2004,10963,2016 год,31.12.2016,16651,2010 год,31.12.2010,13282,2015 год,31.12.2015,17286,2013 год,31.12.2013,16501,2014 год,31.12.2014,17281,2012 год,31.12.2012,15118,2017 год,31.12.2017,17172,2022 год,31.12.2022,13605,2021 год,31.12.2021,18816,2020 год,31.12.2020,15835,2023 год,31.12.2023,13074
268020,741917,Г.АЛМАТЫ,Всего,2019 год,31.12.2019,17832,2018 год,31.12.2018,16952,2009 год,31.12.2009,12891,2011 год,31.12.2011,14033,2000 год,31.12.2000,7918,2005 год,31.12.2005,11906,2002 год,31.12.2002,9406,2001 год,31.12.2001,8329,2007 год,31.12.2007,13896,2003 год,31.12.2003,10638,2008 год,31.12.2008,12655,2006 год,31.12.2006,12880,2004 год,31.12.2004,10963,2016 год,31.12.2016,16651,2010 год,31.12.2010,13282,2015 год,31.12.2015,17286,2013 год,31.12.2013,16501,2014 год,31.12.2014,17281,2012 год,31.12.2012,15118,2017 год,31.12.2017,17172,2022 год,31.12.2022,13605,2021 год,31.12.2021,18816,2020 год,31.12.2020,15835,2023 год,31.12.2023,13074
